"dia","dieta","n","mean","sd","sem","freq","signif"
1,"Dbp7p",8,0,0,0,220,0
1,"Dbp7pMb",8,0,0,0,220,0
1,"Dbp7pMm",8,0,0,0,220,0
1,"Dbp7pMr",8,0,0,0,220,0
1,"Dp23p",8,0,0,0,220,0
2,"Dbp7p",8,1.94935784375,4.87595286025609,1.72390966611651,251.616929776073,0
2,"Dbp7pMb",8,6.7538753,4.47910909452743,1.58360420720734,329.542125249653,0
2,"Dbp7pMm",8,6.17797736125,6.07496266495705,2.14782364792312,320.201549456439,0
2,"Dbp7pMr",8,4.8363095225,5.32812910305333,1.8837781099032,298.440835805746,0
2,"Dp23p",8,2.0476272575,5.08739653015554,1.79866629252895,253.210776264357,0
3,"Dbp7p",8,0.68673158625,5.11089227533971,1.80697329290333,231.138203489468,0
3,"Dbp7pMb",8,8.0038753,3.64220149212667,1.28771268676527,349.816064355705,0
3,"Dbp7pMm",8,8.2690746725,6.49457733396722,2.29617983689433,354.117373098927,0
3,"Dbp7pMr",8,8.78549666875,7.29520475409572,2.57924437588271,362.493299582926,0
3,"Dp23p",8,2.7420717025,5.14678794530507,1.8196643287272,264.47407577673,0
4,"Dbp7p",8,3.49522424375,7.25506776889587,2.56505380867711,276.689570783826,0
4,"Dbp7pMb",8,7.252612675,3.35821666790185,1.18730888928354,337.631222186183,0
4,"Dbp7pMm",8,8.15273268125,5.01078655930946,1.77158057758306,352.230404742064,0
4,"Dbp7pMr",8,7.40900857375,6.89600504693723,2.43810596589298,340.167830928338,0
4,"Dp23p",8,3.4773658225,6.00770083363977,2.12404299940338,276.399922347864,0
5,"Dbp7p",8,4.41591303125,8.72679332998628,3.08538737082341,291.622361514546,0
5,"Dbp7pMb",8,10.6780353775,6.33173763435877,2.23860730897458,393.188671212561,0
5,"Dbp7pMm",8,14.96076840125,8.67839994184298,3.06827772436305,462.650966037348,0
5,"Dbp7pMr",8,13.00573475125,11.347808920947,4.01205631980542,430.941979501042,0
5,"Dp23p",8,4.79251029875,9.41191333085906,3.32761387009525,297.730449569586,0
6,"Dbp7p",8,5.71938897,8.87916389495399,3.13925850069436,312.763634961283,1
6,"Dbp7pMb",8,11.95152394,5.71941928820428,2.02212008156919,413.843574867263,1
6,"Dbp7pMm",8,15.85362553875,10.4627450449806,3.69913898556586,477.132351026211,1
6,"Dbp7pMr",8,17.98016658125,15.9814331115502,5.65028986312818,511.623041907942,1
6,"Dp23p",8,1.8913772575,4.17530973750999,1.47619491447377,250.676533876101,1
7,"Dbp7p",8,7.40007542625,10.9720960333679,3.87922175451222,340.022942857586,1
7,"Dbp7pMb",8,13.35777394,6.46628837908008,2.28617818097764,436.651756361571,1
7,"Dbp7pMm",8,19.6807359375,13.0341689383805,4.60827462172997,539.204833567327,1
7,"Dbp7pMr",8,18.83582134125,17.4832952884904,6.18127832798918,525.501035907977,1
7,"Dp23p",8,2.74207170375,6.50526498251679,2.2999584912765,264.474075797004,1
8,"Dbp7p",8,8.90509215,13.0812833137595,4.6249320688909,364.433036786303,0
8,"Dbp7pMb",8,14.13902394,8.21494901349261,2.90442307727118,449.322968302854,0
8,"Dbp7pMm",8,21.9203192625,13.7344050740837,4.85584548172375,575.52897433051,0
8,"Dbp7pMr",8,20.67515998375,19.6097553548835,6.93309549442367,555.333547614739,0
8,"Dp23p",8,5.1769272325,7.80489858024159,2.75944835628104,303.965365974533,0
9,"Dbp7p",8,8.4878765125,13.6743796074136,4.83462327446059,357.666153243289,0
9,"Dbp7pMb",8,14.13902394,8.21494901349261,2.90442307727118,449.322968302854,0
9,"Dbp7pMm",8,22.57540466125,14.23203419321,5.03178394404882,586.153903517326,0
9,"Dbp7pMr",8,22.81206474375,20.2612954274636,7.16344969619174,589.992329198477,0
9,"Dp23p",8,6.218593895,9.84649784269559,3.48126269775438,320.860315161996,0
10,"Dbp7p",8,11.1292568675,14.9483935358212,5.28505521851216,400.507100821842,0
10,"Dbp7pMb",8,14.68250220625,7.94269373229964,2.80816629949848,458.137724523186,0
10,"Dbp7pMm",8,26.98049005875,16.041470309846,5.6715162181474,657.600650002024,0
10,"Dbp7pMr",8,26.03176170875,23.1966688054073,8.20126090662098,642.213081365157,0
10,"Dp23p",8,7.6483324475,10.2139072843517,3.61116155158788,344.049461042763,0
11,"Dbp7p",8,11.1292568675,14.9483935358212,5.28505521851216,400.507100821842,1
11,"Dbp7pMb",8,15.27774030125,7.24040325927556,2.55986912157946,467.791981236491,1
11,"Dbp7pMm",8,29.87010045875,17.5119837377695,6.19142122650268,704.467678233875,1
11,"Dbp7pMr",8,25.5335733125,21.2597954019755,7.51647274768771,634.132888398025,1
11,"Dp23p",8,8.78026100625,8.68583140575426,3.07090514362596,362.408381580762,1
12,"Dbp7p",8,12.0907953175,17.5450288491291,6.20310443766638,416.102438408584,1
12,"Dbp7pMb",8,16.68399030125,9.35095187072549,3.30606073916951,490.6001627308,1
12,"Dbp7pMm",8,29.81057664625,16.4122655695279,5.80261213942384,703.502252513887,1
